Ad Name,Ad Set Name,Reach,Impressions,Frequency,Results,Cost per Result,Amount Spent,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Video Watches at 25%,Video Watches at 50%,Video Watches at 75%,Video Watches at 95%,Cost per Messaging Conversations Started,Messaging Conversations Started,Day
03 - Arte amort.recon,"Desativado, numero errado.",397,448,"1,13",,,"6,62","14,78",2,"3,31","0,45",,,,,"6,62",1,2026-05-25
03- Vídeo Genérico.,40km - Amplo - +55 16 99147-0892,77,83,"1,08",,,"3,83","46,14",2,"1,92","2,41",11,10,10,8,"3,83",1,2026-05-25
02 - A2 Arte Pneu,40km - Amplo - +55 16 99147-0892,1003,1208,"1,2",,,"32,53","26,93",22,"1,48","1,82",,,,,"10,84",3,2026-05-25
01 - Queima de estoque,40km - Amplo - +55 16 99147-0892,4,4,1,,,"0,01","2,5",,,,,,,,,,2026-05-25
02 - A2 Arte Pneu,40km - homens - 24 a 60 - 16 99147-0892,977,1123,"1,15",,,"19,46","17,33",6,"3,24","0,53",,,,,,,2026-05-25
03- Vídeo Genérico,40km - homens - 24 a 60 - 16 99147-0892,45,46,"1,02",,,"1,39","30,22",,,,7,2,1,1,,,2026-05-25
01 - Arte Pneu.,40km - homens - 24 a 60 - 16 99147-0892,92,92,1,,,"2,61","28,37",,,,,,,,,,2026-05-25
01 - Arte pneu + amort,40km - Amplo - 24 a 60 -  +55 16 99147-0892,1297,1495,"1,15",,,"29,49","19,73",15,"1,97",1,,,,,"14,75",2,2026-05-25
03 - Arte amort.recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,1,1,1,,,"0,01",10,,,,,,,,,,2026-05-25
01 - Queima de estoque,Só Instagram: 40km - Amplo,5,5,1,,,"0,06",12,,,,,,,,,,2026-05-25
02 - A2 Arte Pneu 28/05,Só Instagram: 40km - Amplo,401,457,"1,14",,,"10,01","21,9",1,"10,01","0,22",,,,,"10,01",1,2026-05-25
01 - Queima de estoque,Só Mktplace: 40km.,367,424,"1,16",,,"8,55","20,17",5,"1,71","1,18",,,,,,,2026-05-25
03- Vídeo Mktplace.,Só Mktplace: 40km.,130,142,"1,09",,,"4,69","33,03",3,"1,56","2,11",24,16,10,10,"4,69",1,2026-05-25
02 - A2 Arte Pneu.,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-26
03 - Arte amort.recon,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-26
03- Vídeo Genérico.,40km - Amplo - +55 16 99147-0892,92,95,"1,03",,,"12,38","130,32",,,,20,16,13,10,,,2026-05-26
02 - A2 Arte Pneu,40km - Amplo - +55 16 99147-0892,151,165,"1,09",,,"4,7","28,48",2,"2,35","1,21",,,,,,,2026-05-26
01 - Queima de estoque,40km - Amplo - +55 16 99147-0892,385,423,"1,1",,,"7,3","17,26",3,"2,43","0,71",,,,,"7,3",1,2026-05-26
02 - A2 Arte Pneu,40km - homens - 24 a 60 - 16 99147-0892,9,9,1,,,"0,12","13,33",,,,,,,,,,2026-05-26
03- Vídeo Genérico,40km - homens - 24 a 60 - 16 99147-0892,397,427,"1,08",,,"13,74","32,18",4,"3,44","0,94",78,43,33,24,"13,74",1,2026-05-26
01 - Arte Pneu.,40km - homens - 24 a 60 - 16 99147-0892,478,485,"1,01",,,"9,84","20,29",2,"4,92","0,41",,,,,"9,84",1,2026-05-26
01 - Arte pneu + amort,40km - Amplo - 24 a 60 -  +55 16 99147-0892,1175,1270,"1,08",,,"21,51","16,94",10,"2,15","0,79",,,,,"21,51",1,2026-05-26
03 - Arte amort.recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,267,298,"1,12",,,"5,52","18,52",2,"2,76","0,67",,,,,,,2026-05-26
02 - Vídeo amort. recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,61,66,"1,08",,,"1,01","15,3",1,"1,01","1,52",,,,,,,2026-05-26
01 - Queima de estoque,Só Instagram: 40km - Amplo,258,272,"1,05",,,"9,85","36,21",2,"4,93","0,74",,,,,"4,93",2,2026-05-26
02 - A2 Arte Pneu 28/05,Só Instagram: 40km - Amplo,6,6,1,,,"0,16","26,67",,,,,,,,,,2026-05-26
03- Vídeo Genérico.,Só Instagram: 40km - Amplo,217,230,"1,06",,,"13,38","58,17",5,"2,68","2,17",42,28,25,20,"4,46",3,2026-05-26
01 - Queima de estoque,Só Mktplace: 40km.,6,6,1,,,"0,22","36,67",,,,,,,,,,2026-05-26
02 - A2 Arte Pneu,Só Mktplace: 40km.,191,203,"1,06",,,"4,91","24,19",1,"4,91","0,49",,,,,,,2026-05-26
03- Vídeo Mktplace.,Só Mktplace: 40km.,481,541,"1,12",,,"15,38","28,43",2,"7,69","0,37",62,44,33,28,"15,38",1,2026-05-26
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,537,619,"1,15",,,"11,4","18,42",8,"1,43","1,29",,,,,"3,8",3,2026-05-26
02- Vídeo 5 anos de garantia,55 16 99147-0892 + Amplo + 40km negativado.,417,440,"1,06",,,"8,92","20,27",2,"4,46","0,45",87,55,47,38,"4,46",2,2026-05-26
01- Queima de estoque,55 16 99147-0892 + Amplo + 40km negativado.,337,409,"1,21",,,"6,59","16,11",7,"0,94","1,71",,,,,"6,59",1,2026-05-26
01- Expositor,55 16 99147-0892 + Amplo + 40km negativado.,526,573,"1,09",,,"14,53","25,36",6,"2,42","1,05",,,,,"14,53",1,2026-05-26
02- Pneus Vídeos Genérico 28/05,55 16 99147-0892 + Amplo + 40km negativado.,88,90,"1,02",,,"1,57","17,44",,,,12,8,8,7,,,2026-05-26
01 - Arte pneu + amort,40km - Amplo - 24 a 60 -  +55 16 99147-0892,772,802,"1,04",,,"11,36","14,16",5,"2,27","0,62",,,,,"11,36",1,2026-05-27
03 - Arte amort.recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,5,5,1,,,"0,04",8,,,,,,,,,,2026-05-27
02 - Vídeo amort. recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,13,13,1,,,"0,11","8,46",,,,,,,,,,2026-05-27
01 - Queima de estoque,Só Instagram: 40km - Amplo,223,231,"1,04",,,"4,96","21,47",3,"1,65","1,3",,,,,"4,96",1,2026-05-27
02 - A2 Arte Pneu 28/05,Só Instagram: 40km - Amplo,49,49,1,,,"1,45","29,59",,,,,,,,,,2026-05-27
03- Vídeo Genérico.,Só Instagram: 40km - Amplo,272,305,"1,12",,,"11,48","37,64",2,"5,74","0,66",49,30,21,12,"11,48",1,2026-05-27
01 - Queima de estoque,Só Mktplace: 40km.,1,1,1,,,"0,02",20,,,,,,,,,,2026-05-27
02 - A2 Arte Pneu,Só Mktplace: 40km.,3,3,1,,,"0,02","6,67",,,,,,,,,,2026-05-27
03- Vídeo Mktplace.,Só Mktplace: 40km.,412,482,"1,17",,,"11,28","23,4",3,"3,76","0,62",82,57,49,35,,,2026-05-27
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,1698,2062,"1,21",,,"31,76","15,4",23,"1,38","1,12",,,,,"3,18",10,2026-05-27
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,430,484,"1,13",,,"13,07",27,4,"3,27","0,83",63,41,26,23,"13,07",1,2026-05-27
02- Vídeo 5 anos de garantia,55 16 99147-0892 + Amplo + 40km negativado.,500,539,"1,08",,,"9,95","18,46",2,"4,97","0,37",73,47,39,25,"9,95",1,2026-05-27
01- Queima de estoque,55 16 99147-0892 + Amplo + 40km negativado.,690,840,"1,22",,,"14,63","17,42",6,"2,44","0,71",,,,,"14,63",1,2026-05-27
01- Expositor,55 16 99147-0892 + Amplo + 40km negativado.,975,1041,"1,07",,,"20,22","19,42",10,"2,02","0,96",,,,,"5,06",4,2026-05-27
02- Pneus Vídeos Genérico 28/05,55 16 99147-0892 + Amplo + 40km negativado.,25,26,"1,04",,,"0,45","17,31",,,,3,2,2,1,,,2026-05-27
03- Vídeo Genérico,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-28
03- Vídeo Genérico,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-28
03 - Arte amort.recon,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-28
01 - Arte pneu + amort,40km - Amplo - 24 a 60 -  +55 16 99147-0892,730,782,"1,07",,,"9,4","12,02",7,"1,34","0,9",,,,,"4,7",2,2026-05-28
02 - Vídeo amort. recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,28,28,1,,,"0,27","9,64",,,,2,1,,,,,2026-05-28
01 - Queima de estoque,Só Instagram: 40km - Amplo,2,2,1,,,"0,05",25,,,,,,,,,,2026-05-28
02 - A2 Arte Pneu 28/05,Só Instagram: 40km - Amplo,51,52,"1,02",,,"1,23","23,65",,,,8,7,2,1,,,2026-05-28
03- Vídeo Genérico.,Só Instagram: 40km - Amplo,540,593,"1,1",,,"21,19","35,73",7,"3,03","1,18",100,58,42,30,"7,06",3,2026-05-28
02 - A2 Arte Pneu,Só Mktplace: 40km.,2,2,1,,,0,0,,,,,,,,,,2026-05-28
03- Vídeo Mktplace.,Só Mktplace: 40km.,255,269,"1,05",,,"4,76","17,7",2,"2,38","0,74",39,27,16,13,,,2026-05-28
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,3056,3672,"1,2",,,"54,01","14,71",34,"1,59","0,93",,,,,"4,91",11,2026-05-28
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,180,192,"1,07",,,"3,14","16,35",1,"3,14","0,52",18,7,4,2,,,2026-05-28
02- Vídeo 5 anos de garantia,55 16 99147-0892 + Amplo + 40km negativado.,83,85,"1,02",,,"1,67","19,65",2,"0,84","2,35",15,9,7,4,"1,67",1,2026-05-28
01- Queima de estoque,55 16 99147-0892 + Amplo + 40km negativado.,73,82,"1,12",,,"1,31","15,98",1,"1,31","1,22",,,,,,,2026-05-28
01- Expositor,55 16 99147-0892 + Amplo + 40km negativado.,571,621,"1,09",,,"12,2","19,65",8,"1,53","1,29",,,,,"4,07",3,2026-05-28
02- Pneus Vídeos Genérico 28/05,55 16 99147-0892 + Amplo + 40km negativado.,457,476,"1,04",,,"8,38","17,61",6,"1,4","1,26",75,48,40,21,"8,38",1,2026-05-28
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,1091,1302,"1,19",,,"25,08","19,26",17,"1,48","1,31",116,67,50,33,"2,51",10,2026-05-28
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,9,9,1,,,"0,11","12,22",,,,,,,,,,2026-05-28
03 - Arte amort.recon,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-29
01 - Arte pneu + amort,40km - Amplo - 24 a 60 -  +55 16 99147-0892,429,453,"1,06",,,"6,27","13,84",3,"2,09","0,66",,,,,,,2026-05-29
02 - A2 Arte Pneu 28/05,Só Instagram: 40km - Amplo,152,158,"1,04",,,"2,66","16,84",1,"2,66","0,63",28,13,5,5,,,2026-05-29
03- Vídeo Genérico.,Só Instagram: 40km - Amplo,204,215,"1,05",,,"8,79","40,88",3,"2,93","1,4",40,24,20,18,"4,39",2,2026-05-29
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,2240,2557,"1,14",,,"39,14","15,31",23,"1,7","0,9",,,,,"7,83",5,2026-05-29
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,108,109,"1,01",,,"2,21","20,28",1,"2,21","0,92",13,8,4,3,,,2026-05-29
01- Expositor,55 16 99147-0892 + Amplo + 40km negativado.,628,704,"1,12",,,"13,98","19,86",3,"4,66","0,43",,,,,,,2026-05-29
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,828,936,"1,13",,,"17,93","19,16",9,"1,99","0,96",68,34,23,12,"4,48",4,2026-05-29
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,2,2,1,,,"0,01",5,,,,,,,,,,2026-05-29
01- Etiqueta.,#ERROR!,2,2,1,,,"0,03",15,,,,,,,,,,2026-05-30
02- Circo 28/05.,#ERROR!,1942,2115,"1,09",,,"32,08","15,17",14,"2,29","0,66",147,69,43,30,"3,21",10,2026-05-30
02- Pneus Vídeos Genérico 28/05.,#ERROR!,1155,1315,"1,14",,,"20,65","15,7",7,"2,95","0,53",156,102,68,43,"6,88",3,2026-05-30
01- Etiqueta,#ERROR!,94,102,"1,09",,,"3,34","32,75",1,"3,34","0,98",,,,,"3,34",1,2026-05-30
02- Circo 28/05.,#ERROR!,4785,5310,"1,11",,,"76,34","14,38",27,"2,83","0,51",443,222,131,86,"7,63",10,2026-05-30
02 - A2 Arte Pneu 28/05.,Só Instagram: 40km - Amplo - 16 99614-9589,1,1,1,,,0,0,,,,,,,,,,2026-05-30
03- Vídeo Genérico,Só Instagram: 40km - Amplo - 16 99614-9589,464,483,"1,04",,,"9,34","19,34",2,"4,67","0,41",72,40,32,28,,,2026-05-30
01 - Arte pneu + amort,Desativado,30,31,"1,03",,,"0,46","14,84",1,"0,46","3,23",,,,,,,2026-05-30
02 - Vídeo amort. recon.,Desativado,521,596,"1,14",,,"8,99","15,08",2,"4,5","0,34",104,54,36,29,"4,5",2,2026-05-30
03 - Arte amort.recon.,Desativado,47,51,"1,09",,,"0,87","17,06",1,"0,87","1,96",,,,,,,2026-05-30
01- Etiqueta.,#ERROR!,191,221,"1,16",,,"6,66","30,14",4,"1,67","1,81",,,,,,,2026-05-31
02- Circo 28/05.,#ERROR!,1284,1362,"1,06",,,"19,81","14,54",10,"1,98","0,73",114,59,36,20,"2,83",7,2026-05-31
01- Expositor.,#ERROR!,41,45,"1,1",,,"0,62","13,78",1,"0,62","2,22",,,,,,,2026-05-31
02- Pneus Vídeos Genérico 28/05.,#ERROR!,1184,1255,"1,06",,,"21,29","16,96",7,"3,04","0,56",120,78,58,38,"5,32",4,2026-05-31
01- Etiqueta,#ERROR!,283,332,"1,17",,,"5,14","15,48",1,"5,14","0,3",,,,,,,2026-05-31
02- Circo 28/05.,#ERROR!,3016,3294,"1,09",,,"54,94","16,68",22,"2,5","0,67",300,152,105,65,"9,16",6,2026-05-31
01 - Queima de estoque.,Só Instagram: 40km - Amplo - 16 99614-9589,139,143,"1,03",,,"1,63","11,4",1,"1,63","0,7",,,,,,,2026-05-31
02 - A2 Arte Pneu 28/05.,Só Instagram: 40km - Amplo - 16 99614-9589,681,725,"1,06",,,"15,51","21,39",8,"1,94","1,1",131,79,42,30,"2,59",6,2026-05-31
01 - Arte pneu + amort,Desativado,1096,1221,"1,11",,,"16,32","13,37",10,"1,63","0,82",,,,,"8,16",2,2026-05-31
02 - Vídeo amort. recon.,Desativado,5,5,1,,,"0,04",8,,,,2,,,,,,2026-05-31
03 - Arte amort.recon.,Desativado,226,257,"1,14",,,"4,42","17,2",1,"4,42","0,39",,,,,"4,42",1,2026-05-31
03 - Arte amort.recon,40km - Amplo - 24 a 60 -  +55 16 99147-0892,76,104,"1,37",,,"1,71","16,44",1,"1,71","0,96",,,,,"1,71",1,2026-06-01
02- Circo.,55 16 99147-0892 + Amplo + 40km negativado.,305,387,"1,27",,,"9,66","24,96",7,"1,38","1,81",26,14,12,5,"2,42",4,2026-06-01
02- Pneus Vídeos Genérico 28/05,55 16 99147-0892 + Amplo + 40km negativado.,72,87,"1,21",,,"1,82","20,92",1,"1,82","1,15",7,5,5,4,"1,82",1,2026-06-01
01- Etiqueta.,55 16 99147-0892 + Amplo + 40km negativado.,15,17,"1,13",,,"0,13","7,65",,,,,,,,,,2026-06-01
01- Etiqueta.,#ERROR!,13,14,"1,08",,,"0,16","11,43",,,,,,,,,,2026-06-01
02- Circo 28/05.,#ERROR!,707,717,"1,01",,,"11,81","16,47",4,"2,95","0,56",81,37,26,18,"2,95",4,2026-06-01
01- Expositor.,#ERROR!,1,1,1,,,"0,01",10,,,,,,,,,,2026-06-01
02- Pneus Vídeos Genérico 28/05.,#ERROR!,469,486,"1,04",,,"6,88","14,16",1,"6,88","0,21",52,33,19,14,,,2026-06-01
01- Etiqueta,#ERROR!,419,445,"1,06",,,"5,75","12,92",5,"1,15","1,12",,,,,,,2026-06-01
02- Circo 28/05.,#ERROR!,828,879,"1,06",,,"14,25","16,21",5,"2,85","0,57",89,51,28,16,"4,75",3,2026-06-01
02 - A2 Arte Pneu 28/05.,Só Instagram: 40km - Amplo - 16 99614-9589,15,18,"1,2",,,"0,6","33,33",,,,5,4,2,1,,,2026-06-01
03- Vídeo Genérico,Só Instagram: 40km - Amplo - 16 99614-9589,134,141,"1,05",,,"3,53","25,04",,,,14,9,9,9,,,2026-06-01
01 - Arte pneu + amort,Desativado,47,52,"1,11",,,"1,01","19,42",1,"1,01","1,92",,,,,"1,01",1,2026-06-01
03 - Arte amort.recon.,Desativado,330,380,"1,15",,,"6,8","17,89",1,"6,8","0,26",,,,,,,2026-06-01
